ObjectId,LSOA21CD,LSOA21NM,WD22CD,WD22NM,WD22NMW,LTLA22CD,LTLA22NM,LTLA22NMW
31666,E01033911,Barnet 017E,E05013645,Mill Hill,,E09000003,Barnet,
31673,E01033912,Barnet 017F,E05013646,Totteridge & Woodside,,E09000003,Barnet,
31680,E01033913,Barnet 024G,E05013630,Burnt Oak,,E09000003,Barnet,
31689,E01033914,Barnet 024H,E05013630,Burnt Oak,,E09000003,Barnet,
31692,E01033915,Barnet 042A,E05013633,Colindale South,,E09000003,Barnet,
31695,E01033916,Barnet 042B,E05013632,Colindale North,,E09000003,Barnet,
31702,E01033917,Barnet 042C,E05013633,Colindale South,,E09000003,Barnet,
31709,E01033918,Barnet 042D,E05013633,Colindale South,,E09000003,Barnet,
31716,E01033919,Barnet 042E,E05013633,Colindale South,,E09000003,Barnet,
31723,E01033920,Barnet 042F,E05013633,Colindale South,,E09000003,Barnet,
31809,E01033921,Barnet 043A,E05013633,Colindale South,,E09000003,Barnet,
31849,E01033922,Barnet 043B,E05013633,Colindale South,,E09000003,Barnet,
31853,E01033923,Barnet 043C,E05013633,Colindale South,,E09000003,Barnet,
31854,E01033924,Barnet 043D,E05013633,Colindale South,,E09000003,Barnet,
31856,E01033925,Barnet 043E,E05013633,Colindale South,,E09000003,Barnet,
